Estado,Medicamento,Apresentacao,Data,Valor,Quantidade,Base
BA,Acitretina,25mg - Comprimido/Cápsula,2021-06-02,113400,36000,LAI
BA,Acitretina,25mg - Comprimido/Cápsula,2021-09-09,113400,36000,LAI
BA,Acitretina,25mg - Comprimido/Cápsula,2021-09-28,113400,36000,LAI
BA,Acitretina,25mg - Comprimido/Cápsula,2022-09-14,103680,40500,LAI
BA,Acitretina,25mg - Comprimido/Cápsula,2023-03-21,115200,45000,LAI
BA,Acitretina,25mg - Comprimido/Cápsula,2022-08-10,115200,45000,LAI
BA,Ambrisentana,5mg - Comprimido/Cápsula,2022-09-14,1082.4,30,LAI
BA,Ambrisentana,5mg - Comprimido/Cápsula,2021-09-10,5175,150,LAI
BA,Ambrisentana,5mg - Comprimido/Cápsula,2022-09-13,5412,150,LAI
BA,Ambrisentana,5mg - Comprimido/Cápsula,2025-10-14,6627,150,LAI
BA,Ambrisentana,5mg - Comprimido/Cápsula,2022-08-03,6210,180,LAI
BA,Ambrisentana,5mg - Comprimido/Cápsula,2022-10-14,6494.4,180,LAI
BA,Ambrisentana,5mg - Comprimido/Cápsula,2023-10-04,7218,180,LAI
BA,Ambrisentana,5mg - Comprimido/Cápsula,2023-11-28,7218,180,LAI
BA,Ambrisentana,5mg - Comprimido/Cápsula,2021-09-14,7245,210,LAI
BA,Ambrisentana,5mg - Comprimido/Cápsula,2021-10-29,12420,360,LAI
BA,Ambrisentana,5mg - Comprimido/Cápsula,2024-03-05,14436,360,LAI
BA,Ambrisentana,5mg - Comprimido/Cápsula,2024-09-05,18564,420,LAI
BA,Ambrisentana,5mg - Comprimido/Cápsula,2021-03-08,14760,450,LAI
BA,Ambrisentana,5mg - Comprimido/Cápsula,2025-10-15,29158.8,660,LAI
BA,Ambrisentana,5mg - Comprimido/Cápsula,2025-04-24,37111.2,840,LAI
BA,Ambrisentana,5mg - Comprimido/Cápsula,2024-12-05,54427.5,1230,LAI
BA,Ambrisentana,5mg - Comprimido/Cápsula,2025-06-18,60968.4,1380,LAI
BA,Ambrisentana,10mg - Comprimido/Cápsula,2021-09-10,6560,200,LAI
BA,Ambrisentana,10mg - Comprimido/Cápsula,2022-07-07,9030,250,LAI
BA,Ambrisentana,10mg - Comprimido/Cápsula,2023-07-04,12030,300,LAI
BA,Ambrisentana,10mg - Comprimido/Cápsula,2024-06-10,19053,450,LAI
BA,Ambrisentana,10mg - Comprimido/Cápsula,2022-07-07,17698.8,490,LAI
BA,Ambrisentana,10mg - Comprimido/Cápsula,2022-07-07,17056,520,LAI
BA,Ambrisentana,10mg - Comprimido/Cápsula,2021-09-14,20008,610,LAI
BA,Ambrisentana,10mg - Comprimido/Cápsula,2021-04-01,21648,660,LAI
BA,Ambrisentana,10mg - Comprimido/Cápsula,2021-07-05,21648,660,LAI
BA,Ambrisentana,10mg - Comprimido/Cápsula,2022-03-07,26568,810,LAI
BA,Ambrisentana,10mg - Comprimido/Cápsula,2021-10-22,26568,810,LAI
BA,Ambrisentana,10mg - Comprimido/Cápsula,2022-05-04,29520,900,LAI
BA,Ambrisentana,10mg - Comprimido/Cápsula,2023-07-04,38496,960,LAI
BA,Ambrisentana,10mg - Comprimido/Cápsula,2025-09-04,47714.4,1080,LAI
BA,Ambrisentana,10mg - Comprimido/Cápsula,2022-09-05,45511.2,1260,LAI
BA,Ambrisentana,10mg - Comprimido/Cápsula,2023-02-28,48762,1350,LAI
BA,Ambrisentana,10mg - Comprimido/Cápsula,2022-10-14,49845.6,1380,LAI
BA,Ambrisentana,10mg - Comprimido/Cápsula,2023-10-04,64962,1620,LAI
BA,Ambrisentana,10mg - Comprimido/Cápsula,2024-02-19,68571,1710,LAI
BA,Ambrisentana,10mg - Comprimido/Cápsula,2024-03-12,68571,1710,LAI
BA,Ambrisentana,10mg - Comprimido/Cápsula,2024-10-29,102886.2,2430,LAI
BA,Ambrisentana,10mg - Comprimido/Cápsula,2024-06-10,110507.4,2610,LAI
BA,Ambrisentana,10mg - Comprimido/Cápsula,2025-09-04,143143.2,3240,LAI
BA,Ambrisentana,10mg - Comprimido/Cápsula,2024-12-04,145351.5,3270,LAI
BA,Ambrisentana,10mg - Comprimido/Cápsula,2024-08-23,163855.8,3870,LAI
BA,Ambrisentana,10mg - Comprimido/Cápsula,2025-10-14,190857.6,4320,LAI
BA,Ambrisentana,10mg - Comprimido/Cápsula,2025-04-17,229294.2,5190,LAI
BA,Bosentana,125mg - Comprimido/Cápsula,2024-02-07,20754,6000,LAI
BA,Bosentana,125mg - Comprimido/Cápsula,2024-02-07,54870,17700,LAI
BA,Bosentana,125mg - Comprimido/Cápsula,2022-05-04,36000,18000,LAI
BA,Bosentana,125mg - Comprimido/Cápsula,2021-10-29,36000,18000,LAI
BA,Bosentana,125mg - Comprimido/Cápsula,2021-11-04,36000,18000,LAI
BA,Bosentana,125mg - Comprimido/Cápsula,2021-06-02,149076,18000,LAI
BA,Bosentana,125mg - Comprimido/Cápsula,2022-08-10,39600,19800,LAI
BA,Bosentana,125mg - Comprimido/Cápsula,2021-02-15,166468.2,20100,LAI
BA,Bosentana,125mg - Comprimido/Cápsula,2023-07-03,46121.4,21060,LAI
BA,Bosentana,125mg - Comprimido/Cápsula,2023-04-04,47698.2,21780,LAI
BA,Bosentana,125mg - Comprimido/Cápsula,2023-10-04,52034.4,23760,LAI
BA,Bosentana,125mg - Comprimido/Cápsula,2022-11-29,100072.8,27120,LAI
BA,Bosentana,125mg - Comprimido/Cápsula,2024-07-03,1632930,41340,LAI
BA,Bosentana,125mg - Comprimido/Cápsula,2024-12-10,131947.2,52800,LAI
BA,Bosentana,125mg - Comprimido/Cápsula,2025-06-17,927000,61800,LAI
BA,Bosentana,62.5mg - Comprimido/Cápsula,2024-06-07,1571.76,120,LAI
BA,Bosentana,62.5mg - Comprimido/Cápsula,2024-08-06,2357.64,180,LAI
BA,Bosentana,62.5mg - Comprimido/Cápsula,2024-10-29,2357.64,180,LAI
BA,Bosentana,62.5mg - Comprimido/Cápsula,2025-06-18,4500,300,LAI
BA,Bosentana,62.5mg - Comprimido/Cápsula,2023-06-06,4712.4,360,LAI
BA,Bosentana,62.5mg - Comprimido/Cápsula,2025-02-25,5501.16,420,LAI
