Data,Estado,Medicamento,Apresentacao,Quantidade,Valor,Base
2025-07-24,BA,Acetato De Leuprorrelina,3.75mg - Injetável,269,69232.26,LAI
2024-11-07,BA,Acetato De Leuprorrelina,3.75mg - Injetável,280,72976.12,LAI
2021-03-23,BA,Acetato De Leuprorrelina,3.75mg - Injetável,298,65998.06,LAI
2021-05-17,BA,Acetato De Leuprorrelina,3.75mg - Injetável,400,88588,LAI
2022-11-18,BA,Acetato De Leuprorrelina,3.75mg - Injetável,427,91378,LAI
2024-03-20,BA,Acetato De Leuprorrelina,3.75mg - Injetável,428,103697.98,LAI
2024-11-07,BA,Acetato De Leuprorrelina,3.75mg - Injetável,440,113242.36,LAI
2021-07-19,BA,Acetato De Leuprorrelina,3.75mg - Injetável,540,119593.8,LAI
2022-01-04,BA,Acetato De Leuprorrelina,3.75mg - Injetável,634,152904.31,LAI
2022-04-13,BA,Acetato De Leuprorrelina,3.75mg - Injetável,790,190527.46,LAI
2021-10-13,BA,Acetato De Leuprorrelina,3.75mg - Injetável,792,175404.24,LAI
2022-09-22,BA,Acetato De Leuprorrelina,3.75mg - Injetável,792,191009.8,LAI
2024-04-23,BA,Acetato De Leuprorrelina,3.75mg - Injetável,891,215875.93,LAI
2023-08-09,BA,Acetato De Leuprorrelina,3.75mg - Injetável,1068,228552,LAI
2022-11-10,BA,Acetato De Leuprorrelina,3.75mg - Injetável,1102,235828,LAI
2023-03-03,BA,Acetato De Leuprorrelina,3.75mg - Injetável,1194,255516,LAI
2021-03-18,BA,Acetato De Leuprorrelina,11.25mg - Injetável,10,12673.4,LAI
2022-03-21,BA,Acetato De Leuprorrelina,11.25mg - Injetável,38,50502,LAI
2021-03-18,BA,Acetato De Leuprorrelina,11.25mg - Injetável,90,114060.6,LAI
2022-03-21,BA,Acetato De Leuprorrelina,11.25mg - Injetável,100,132900,LAI
2021-11-11,BA,Acetato De Leuprorrelina,11.25mg - Injetável,138,171741,LAI
2021-10-04,BA,Acetato De Leuprorrelina,11.25mg - Injetável,368,457976,LAI
2022-09-19,BA,Acetato De Leuprorrelina,11.25mg - Injetável,414,550206,LAI
2022-11-09,BA,Acetato De Leuprorrelina,11.25mg - Injetável,414,550206,LAI
2024-02-15,BA,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,60,57,LAI
2021-11-18,BA,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,6770,11021.56,LAI
2024-09-16,BA,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,11640,8730,LAI
2025-04-16,BA,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,18780,13258.68,LAI
2021-03-12,BA,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,21000,49980,LAI
2022-09-27,BA,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,43000,51170,LAI
2021-05-28,BA,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,45360,107956.8,LAI
2021-07-08,BA,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,45360,107956.8,LAI
2022-09-27,BA,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,45920,54644.8,LAI
2021-11-18,BA,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,54160,73061.84,LAI
2022-03-17,BA,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,60930,82194.57,LAI
2021-10-04,BA,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,60930,145013.4,LAI
2022-06-17,BA,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,71280,96156.72,LAI
2024-09-13,BA,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,71520,50493.12,LAI
2025-09-04,BA,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,82800,49680,LAI
2024-11-22,BA,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,83160,58710.96,LAI
2024-06-21,BA,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,83160,58710.96,LAI
2025-10-28,BA,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,86400,51840,LAI
2023-12-05,BA,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,88290,83875.5,LAI
2022-08-23,BA,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,88960,120007.04,LAI
2022-11-03,BA,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,91470,108849.3,LAI
2023-09-15,BA,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,95310,90544.5,LAI
2023-05-17,BA,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,95910,114132.9,LAI
2023-04-14,BA,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,210,462,LAI
2021-02-09,BA,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,630,3603.6,LAI
2022-04-13,BA,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,900,2691,LAI
2021-04-19,BA,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,1620,9266.4,LAI
2021-08-24,BA,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,2500,11595,LAI
2021-05-10,BA,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,3150,18018,LAI
2021-08-24,BA,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,3200,14784,LAI
2021-07-08,BA,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,3420,19562.4,LAI
2022-04-06,BA,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,5070,9785.1,LAI
2021-10-13,BA,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,5700,26334,LAI
2021-11-09,BA,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,5700,26334,LAI
2022-06-10,BA,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,6930,13374.9,LAI
2022-08-10,BA,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,9390,18122.7,LAI
2022-09-19,BA,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,9390,18122.7,LAI
2022-10-21,BA,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,10350,19975.5,LAI
2025-03-28,BA,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,10530,12636,LAI
2023-04-19,BA,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,12900,25671,LAI
2023-07-14,BA,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,14820,29491.8,LAI
2024-02-15,BA,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,16350,21091.5,LAI
2023-10-09,BA,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,17010,33849.9,LAI
2024-05-24,BA,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,18000,23220,LAI
2024-09-16,BA,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,21060,27167.4,LAI
2024-11-08,BA,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,21060,27167.4,LAI
2025-05-26,BA,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,26460,31752,LAI
2025-09-05,BA,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,26460,31752,LAI
NA,BA,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,29430,35316,LAI
2022-07-11,BA,Acitretina,10mg - Comprimido/Cápsula,3000,5391,LAI
2021-03-12,BA,Acitretina,10mg - Comprimido/Cápsula,3000,6180,LAI
2022-07-11,BA,Acitretina,10mg - Comprimido/Cápsula,3000,6480,LAI
2025-10-20,BA,Acitretina,10mg - Comprimido/Cápsula,3630,12051.6,LAI
2023-10-20,BA,Acitretina,10mg - Comprimido/Cápsula,3700,12950,LAI
2024-10-18,BA,Acitretina,10mg - Comprimido/Cápsula,4000,14040,LAI
2022-07-15,BA,Acitretina,10mg - Comprimido/Cápsula,4500,5940,LAI
2024-11-19,BA,Acitretina,10mg - Comprimido/Cápsula,6800,23868,LAI
2022-02-25,BA,Acitretina,10mg - Comprimido/Cápsula,7000,13272,LAI
2021-03-12,BA,Acitretina,10mg - Comprimido/Cápsula,7500,14220,LAI
2024-10-18,BA,Acitretina,10mg - Comprimido/Cápsula,9500,33345,LAI
2022-09-27,BA,Acitretina,10mg - Comprimido/Cápsula,10500,13860,LAI
2021-06-08,BA,Acitretina,10mg - Comprimido/Cápsula,10500,19908,LAI
2021-10-04,BA,Acitretina,10mg - Comprimido/Cápsula,10500,19908,LAI
