"","Estado","Medicamento","Apresentacao","Data","Valor","Quantidade"
"272","BA","Ambrisentana","comprimido revestido, 10mg",2021-09-10,6560,200
"273","BA","Ambrisentana","comprimido revestido, 10mg",2022-07-07,9030,250
"274","BA","Ambrisentana","comprimido revestido, 10mg",2023-07-04,12030,300
"275","BA","Ambrisentana","comprimido revestido, 10mg",2024-06-10,19053,450
"276","BA","Ambrisentana","comprimido revestido, 10mg",2022-07-07,17698.8,490
"277","BA","Ambrisentana","comprimido revestido, 10mg",2022-07-07,17056,520
"278","BA","Ambrisentana","comprimido revestido, 10mg",2021-09-14,20008,610
"279","BA","Ambrisentana","comprimido revestido, 10mg",2021-04-01,21648,660
"280","BA","Ambrisentana","comprimido revestido, 10mg",2021-07-05,21648,660
"281","BA","Ambrisentana","comprimido revestido, 10mg",2022-03-07,26568,810
"282","BA","Ambrisentana","comprimido revestido, 10mg",2021-10-22,26568,810
"283","BA","Ambrisentana","comprimido revestido, 10mg",2022-05-04,29520,900
"284","BA","Ambrisentana","comprimido revestido, 10mg",2023-07-04,38496,960
"285","BA","Ambrisentana","comprimido revestido, 10mg",2025-09-04,47714.4,1080
"286","BA","Ambrisentana","comprimido revestido, 10mg",2022-09-05,45511.2,1260
"287","BA","Ambrisentana","comprimido revestido, 10mg",2023-02-28,48762,1350
"288","BA","Ambrisentana","comprimido revestido, 10mg",2022-10-14,49845.6,1380
"289","BA","Ambrisentana","comprimido revestido, 10mg",2023-10-04,64962,1620
"290","BA","Ambrisentana","comprimido revestido, 10mg",2024-02-19,68571,1710
"291","BA","Ambrisentana","comprimido revestido, 10mg",2024-03-12,68571,1710
"292","BA","Ambrisentana","comprimido revestido, 10mg",2024-10-29,102886.2,2430
"293","BA","Ambrisentana","comprimido revestido, 10mg",2024-06-10,110507.4,2610
"294","BA","Ambrisentana","comprimido revestido, 10mg",2025-09-04,143143.2,3240
"295","BA","Ambrisentana","comprimido revestido, 10mg",2024-12-04,145351.5,3270
"296","BA","Ambrisentana","comprimido revestido, 10mg",2024-08-23,163855.8,3870
"297","BA","Ambrisentana","comprimido revestido, 10mg",2025-10-14,190857.6,4320
"298","BA","Ambrisentana","comprimido revestido, 10mg",2025-04-17,229294.2,5190
"299","BA","Bosentana","125mg, comprimido",2024-02-07,20754,6000
"300","BA","Bosentana","125mg, comprimido",2024-02-07,54870,17700
"301","BA","Bosentana","125mg, comprimido",2022-05-04,36000,18000
"302","BA","Bosentana","125mg, comprimido",2021-10-29,36000,18000
"303","BA","Bosentana","125mg, comprimido",2021-11-04,36000,18000
"304","BA","Bosentana","125mg, comprimido",2021-06-02,149076,18000
"305","BA","Bosentana","125mg, comprimido",2022-08-10,39600,19800
"306","BA","Bosentana","125mg, comprimido",2021-02-15,166468.2,20100
"307","BA","Bosentana","125mg, comprimido",2023-07-03,46121.4,21060
"308","BA","Bosentana","125mg, comprimido",2023-04-04,47698.2,21780
"309","BA","Bosentana","125mg, comprimido",2023-10-04,52034.4,23760
"310","BA","Bosentana","125mg, comprimido",2022-11-29,100072.8,27120
"311","BA","Bosentana","125mg, comprimido",2024-07-03,1632930,41340
"312","BA","Bosentana","125mg, comprimido",2024-12-10,131947.2,52800
"313","BA","Bosentana","125mg, comprimido",2025-06-17,927000,61800
"314","BA","Bosentana","62,5mg comprimido revestido",2024-06-07,1571.76,120
"315","BA","Bosentana","62,5mg comprimido revestido",2024-08-06,2357.64,180
"316","BA","Bosentana","62,5mg comprimido revestido",2024-10-29,2357.64,180
"317","BA","Bosentana","62,5mg comprimido revestido",2025-06-18,4500,300
"318","BA","Bosentana","62,5mg comprimido revestido",2023-06-06,4712.4,360
"319","BA","Bosentana","62,5mg comprimido revestido",2025-02-25,5501.16,420
"320","BA","Bosentana","62,5mg comprimido revestido",2025-09-04,8011.2,480
"321","BA","Bosentana","62,5mg comprimido revestido",2025-10-14,12016.8,720
"322","BA","Brometo Tiotropio + Olodaterol Cloridrato","2,5mcg/acionamento, solucao para inalacao, frasc",2022-05-04,7409.22,39
"323","BA","Brometo Tiotropio + Olodaterol Cloridrato","2,5mcg/acionamento, solucao para inalacao, frasc",2022-07-08,16148.3,85
"324","BA","Brometo Tiotropio + Olodaterol Cloridrato","2,5mcg/acionamento, solucao para inalacao, frasc",2022-06-09,26597.2,140
"325","BA","Brometo Tiotropio + Olodaterol Cloridrato","2,5mcg/acionamento, solucao para inalacao, frasc",2023-10-04,40521.3,190
"326","BA","Brometo Tiotropio + Olodaterol Cloridrato","2,5mcg/acionamento, solucao para inalacao, frasc",2022-07-11,40845.7,215
"327","BA","Brometo Tiotropio + Olodaterol Cloridrato","2,5mcg/acionamento, solucao para inalacao, frasc",2022-08-03,82071.36,432
"328","BA","Brometo Tiotropio + Olodaterol Cloridrato","2,5mcg/acionamento, solucao para inalacao, frasc",2022-09-06,105438.9,555
"329","BA","Brometo Tiotropio + Olodaterol Cloridrato","2,5mcg/acionamento, solucao para inalacao, frasc",2023-11-22,135384,600
"330","BA","Brometo Tiotropio + Olodaterol Cloridrato","2,5mcg/acionamento, solucao para inalacao, frasc",2022-10-14,135645.72,714
"331","BA","Brometo Tiotropio + Olodaterol Cloridrato","2,5mcg/acionamento, solucao para inalacao, frasc",2023-02-02,211447.74,1113
"332","BA","Brometo Tiotropio + Olodaterol Cloridrato","2,5mcg/acionamento, solucao para inalacao, frasc",2023-03-31,276420.9,1455
"333","BA","Brometo Tiotropio + Olodaterol Cloridrato","2,5mcg/acionamento, solucao para inalacao, frasc",2024-03-05,333044.64,1476
"334","BA","Brometo Tiotropio + Olodaterol Cloridrato","2,5mcg/acionamento, solucao para inalacao, frasc",2023-11-22,391711.04,1736
"335","BA","Brometo Tiotropio + Olodaterol Cloridrato","2,5mcg/acionamento, solucao para inalacao, frasc",2023-07-07,387724.86,1818
"336","BA","Brometo Tiotropio + Olodaterol Cloridrato","2,5mcg/acionamento, solucao para inalacao, frasc",2023-08-03,417795.93,1959
